person1_id,person2_id,interaction_type,infection_probability
3270,16844,shared_space,0.17
39811,34909,shared_space,0.19
30847,8339,close_contact,0.17
46169,33748,shared_space,0.06
23358,28540,shared_space,0.14
25193,23941,close_contact,0.17
16079,34518,shared_space,0.24
34572,32549,shared_space,0.11
17830,36286,shared_space,0.08
39232,2492,shared_space,0.08
3596,45646,close_contact,0.06
14720,20690,close_contact,0.14
29183,32101,close_contact,0.25
29026,18095,close_contact,0.15
33293,8195,close_contact,0.11
8806,47715,close_contact,0.23
44821,18642,shared_space,0.18
34155,48817,shared_space,0.1
30720,9737,shared_space,0.19
9823,2618,shared_space,0.17
27200,40770,shared_space,0.18
33160,11757,close_contact,0.17
25323,47973,shared_space,0.06
34636,3860,shared_space,0.08
22693,8961,close_contact,0.13
47902,35989,shared_space,0.22
2248,20027,close_contact,0.06
10649,3576,close_contact,0.15
35829,36037,close_contact,0.2
7524,16918,close_contact,0.07
28414,38012,shared_space,0.09
22732,21903,close_contact,0.15
17016,15532,shared_space,0.2
40658,18176,shared_space,0.17
13784,5580,close_contact,0.19
41226,26766,close_contact,0.24
9900,47651,close_contact,0.24
45814,39403,shared_space,0.24
9938,16442,close_contact,0.1
28994,49259,close_contact,0.15
37334,2017,close_contact,0.12
47043,16323,shared_space,0.1
27070,12625,close_contact,0.14
13268,37146,shared_space,0.09
2224,27971,shared_space,0.17
889,43117,close_contact,0.19
23858,6917,shared_space,0.07
43438,26413,shared_space,0.09
12324,37788,shared_space,0.07
1904,38889,close_contact,0.06
6844,17004,close_contact,0.23
124,10036,shared_space,0.25
24738,30688,close_contact,0.13
40174,25223,close_contact,0.09
4273,42394,close_contact,0.17
2367,14132,shared_space,0.24
49421,9668,shared_space,0.14
25649,2215,shared_space,0.1
35857,11444,shared_space,0.15
48067,31337,shared_space,0.14
38986,6764,close_contact,0.13
9531,48549,shared_space,0.22
42300,23513,close_contact,0.16
24791,33897,close_contact,0.22
3970,20317,shared_space,0.06
31366,36235,shared_space,0.09
15000,44492,close_contact,0.08
35277,1929,close_contact,0.06
47159,41438,close_contact,0.11
25882,27878,shared_space,0.13
39448,47106,close_contact,0.21
26966,40431,close_contact,0.22
22648,46491,close_contact,0.07
43041,47350,shared_space,0.13
49239,3207,shared_space,0.19
1535,12970,shared_space,0.11
49808,28617,close_contact,0.12
1126,35735,close_contact,0.08
18432,44340,close_contact,0.13
12076,17914,close_contact,0.2
12565,14444,close_contact,0.08
4045,23087,close_contact,0.06
37619,23709,shared_space,0.09
9271,43562,shared_space,0.21
10565,21292,shared_space,0.23
15411,17636,close_contact,0.2
42582,32351,close_contact,0.12
23967,44757,shared_space,0.16
42507,39197,close_contact,0.23
5371,38871,shared_space,0.2
6574,32881,close_contact,0.19
10085,15937,shared_space,0.15
25639,23568,shared_space,0.18
47564,26939,shared_space,0.18
36587,29755,shared_space,0.06
49136,21997,close_contact,0.08
28954,2162,shared_space,0.05
9509,32731,shared_space,0.06
24488,7727,shared_space,0.21
7065,34997,close_contact,0.18
7620,34153,shared_space,0.15
6937,17829,shared_space,0.17
28451,46946,close_contact,0.07
2970,46962,shared_space,0.17
11468,38676,shared_space,0.16
20391,48713,shared_space,0.06
18374,38291,close_contact,0.15
32273,13081,shared_space,0.1
41676,37794,close_contact,0.17
26795,48088,shared_space,0.2
44319,13523,shared_space,0.13
1824,13660,shared_space,0.24
12104,39259,close_contact,0.21
20905,48155,shared_space,0.23
48990,28741,close_contact,0.17
36064,14203,shared_space,0.06
41848,16424,shared_space,0.19
12280,18903,shared_space,0.16
20572,2308,close_contact,0.15
39340,36157,shared_space,0.1
48699,38510,shared_space,0.05
40272,29453,close_contact,0.07
5693,6083,close_contact,0.23
12866,7812,shared_space,0.22
1468,22626,shared_space,0.18
22006,33908,shared_space,0.12
43900,41915,shared_space,0.24
4410,38452,shared_space,0.08
37038,39734,close_contact,0.16
46209,5543,shared_space,0.14
12638,1403,shared_space,0.19
24686,48944,close_contact,0.07
17192,21930,close_contact,0.13
42467,18526,shared_space,0.1
25926,6089,shared_space,0.15
26486,34088,close_contact,0.18
17831,913,shared_space,0.24
1603,32745,close_contact,0.16
34497,7173,shared_space,0.19
44156,41826,close_contact,0.09
11020,9470,close_contact,0.11
33156,30063,shared_space,0.07
1153,24591,close_contact,0.2
48044,6536,shared_space,0.05
49944,19182,close_contact,0.22
29587,27670,shared_space,0.08
8715,24182,shared_space,0.08
19219,6783,shared_space,0.1
25247,11504,shared_space,0.16
11169,49712,close_contact,0.06
35008,19325,shared_space,0.19
31093,21420,shared_space,0.09
935,6493,shared_space,0.2
17706,6433,shared_space,0.15
23057,18636,close_contact,0.22
9261,851,close_contact,0.08
34532,34611,shared_space,0.16
38845,15794,close_contact,0.25
36580,23170,close_contact,0.13
25627,33936,close_contact,0.07
39256,7797,shared_space,0.05
49312,31906,close_contact,0.15
17442,39280,close_contact,0.17
7126,3489,close_contact,0.1
12466,38269,close_contact,0.1
38307,20203,close_contact,0.22
11733,5832,close_contact,0.18
46621,17499,shared_space,0.14
3318,39397,shared_space,0.13
27903,48020,shared_space,0.19
1761,3346,close_contact,0.08
17659,35752,close_contact,0.07
17870,43596,close_contact,0.13
47838,168,shared_space,0.14
8615,42080,shared_space,0.23
523,12680,shared_space,0.06
24143,6877,close_contact,0.17
18799,31351,close_contact,0.22
44831,40514,close_contact,0.14
2129,19500,close_contact,0.11
39361,2652,close_contact,0.2
17731,46306,shared_space,0.16
